"4 Pack ""Mystery"" Power Boxes",11,Yes,N/A,10,110
V Battle Deck [Venusaur V],1,Yes,N/A,10,10
"Burning Shadows Theme Deck - ""Luminous Frost"" [Alolan Ninetales]",1,Yes,N/A,10,10
"Burning Shadows Theme Deck - ""Rock Steady"" [Lycanroc] - SM",2,Yes,N/A,5,10
Pokemon GO Mini Tin Display,1,Yes,N/A,84.23,84.23
Galar Power Mini Tin [Toxtricity],1,Yes,N/A,9,9
Galar Power Mini Tin [Dragapult],3,Yes,N/A,9,27
Galar Pal Mini Tin [Scorbunny & Pikachu],3,Yes,N/A,9,27
Galar Pal Mini Tin [Grookey & Wooloo],2,Yes,N/A,9,18
Galar Pal Mini Tin [Sobble & Rookidee],1,Yes,N/A,9,9
Celebrations Mini Tin [Kanto],12,Yes,N/A,9,108
Celebrations Mini Tin [Johto],2,Yes,N/A,9,18
Mystery Pokemon Pack of 20 Cards with 1 Foil Card Factory Sealed.,2,Yes,N/A,2.5,5
3-Pack Dollar General Tin [Snorlax],2,Yes,N/A,5,10
3-Pack Dollar General Tin [Mimikyu],2,Yes,N/A,5,10
Pokemon: Brilliant Stars Mini Portfolio Display [Case[,2,Yes,N/A,85,170
Pokemon: Brilliant Stars Mini Portfolio Display,2,Yes,N/A,37,74
Spring 2022 Collector Bundle [Case],1,Yes,N/A,160,160
Lost Origin PC ETB [Case],1,Y,N/A,213.21,213.21
Pokemon GO PC ETB [Case],1,Y,N/A,275,275
Arceus V Figure Collection,3,Yes,N/A,25,75
Sword & Shield Ultra-Premium Collection - Zacian & Zamazenta,3,Yes,Not good,122.61,367.82
Astral Radiance Elite Trainer Box,4,Y,N/A,25,100
Astral Radiance Pokemon Center Elite Trainer Box Case (Exclusive),2,Y,N/A,50,100
Pokemon GO Elite Trainer Box,1,Y,N/A,42,42
Pokemon Celebrations Tin [Charizard],1,Y,N/A,20,20
Pokemon Celebrations Tin [Sylveon],1,Y,N/A,20,20
Pokemon TCG: Back to School Pencil Case,1,Y,N/A,5,5
Morpeko V-Union Box,2,Y,N/A,15,30
Poke Ball Tin 2022 Q2 [Case],1,Y,N/A,60,60
Galarain Rapidash V Box,2,Y,N/A,13.5,27
Sword & Shield Ultra-Premium Collection: Charizard - SWSH11: Lost Origin,6,Y,3 Good 3 Okay,127,762
Pikachu & Zekrom GX Premium Collection - Miscellaneous Cards & Products,5,Y,N/A,47.6,238
Hoopa V Box - SWSH08: Fusion Strike,5,Y,N/A,16,80
Dragonite V Box - SWSH08: Fusion Strike,3,Y,N/A,20,60
Lucario VSTAR Premium Collection - Miscellaneous Cards & Products,4,Y,N/A,20,80
